locus,population,tested_population,known_relationship,median_log10_ratio,mean_log10_ratio,sd_log10_ratio,ci_lower,ci_upper,n_pairs,locus_rank
D1S1656,AfAm,Asian,second_cousins,0,0.021880981449166,0.0743505911763787,-0.034061720319854,0.252072732222231,20000,2
D21S11,AfAm,Asian,second_cousins,0,0.0279244757477974,0.119192408550702,-0.0361277226240597,0.145548258463626,20000,2
D22S1045,AfAm,Asian,second_cousins,0,0.0132125195947337,0.0899936819469273,-0.012743125658352,0.333138404266564,20000,2
D2S1338,AfAm,Asian,second_cousins,0,0.0185384132737134,0.0685538253783971,-0.0263590991086179,0.267381546984867,20000,2
D2S441,AfAm,Asian,second_cousins,0,0.00966387981578369,0.0293609107626229,-0.017627465055607,0.0964243784637498,20000,2
D3S1358,AfAm,Asian,second_cousins,0,0.00248604867860187,0.0238855763930862,-0.00670553124857198,0.00562669752305144,20000,2
D5S818,AfAm,Asian,second_cousins,0,0.00847750929894919,0.0478853717513143,-0.00785848302223515,0.0274653401083965,20000,2
D6S1043,AfAm,Asian,second_cousins,0,0.00453763047036113,0.0314832289897268,-0.0211246767229823,0.045443239836468,20000,2
D7S820,AfAm,Asian,second_cousins,0,0.00495908471149725,0.0213423393173469,-0.0265107156684667,0.0747609609081826,20000,2
D8S1179,AfAm,Asian,second_cousins,0,0.00365157402300397,0.0181638860703943,-0.0283114157298606,0.0250072048149651,20000,2
F13A01,AfAm,Asian,second_cousins,0,0.0642984849110007,0.136816651263043,-0.0389405699713094,0.431302600229318,20000,2
F13B,AfAm,Asian,second_cousins,0,0.140149852278902,0.21343620795259,-0.043125751414108,0.651881016754979,20000,2
FESFPS,AfAm,Asian,second_cousins,0,0.0302267747348956,0.146023293389152,-0.0151474095915705,0.814683421263927,20000,2
FGA,AfAm,Asian,second_cousins,0,0.00408038887799002,0.0442495612702134,-0.0128499491775517,0.0572067461094762,20000,2
LPL,AfAm,Asian,second_cousins,0,0.0323851150039043,0.132054818913623,-0.0178249914619168,0.574338760072207,20000,2
Penta_C,AfAm,Asian,second_cousins,0,0.00962201970302088,0.0539910582128448,-0.0218474791525923,0.242052135704644,20000,2
Penta_D,AfAm,Asian,second_cousins,0,0.0596654824595915,0.211864952170692,-0.029958882364375,0.838750513867126,20000,2
Penta_E,AfAm,Asian,second_cousins,0,0.0725831237452063,0.216200060751585,-0.0543914083486331,0.83332456699452,20000,2
SE33,AfAm,Asian,second_cousins,0,0.0172013129526067,0.0914222387780808,-0.0512293502003744,0.117027262028306,20000,2
TH01,AfAm,Asian,second_cousins,0,0.00913907079902193,0.0252418571651085,-0.0271713237574811,0.078221634018708,20000,2
TPOX,AfAm,Asian,second_cousins,0,0.0235647570991523,0.129532433686994,-0.0157789718574767,0.176051897612605,20000,2
vWA,AfAm,Asian,second_cousins,0,0.0226743989708718,0.0741091256162022,-0.0399365827131376,0.221039794155831,20000,2
CSF1PO,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
D10S1248,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
D12S391,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
D13S317,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
D16S539,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
D18S51,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
D19S433,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
D1S1656,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
D21S11,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
D22S1045,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
D2S1338,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
D2S441,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
D3S1358,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
D5S818,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
D6S1043,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
D7S820,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
D8S1179,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
F13A01,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
F13B,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
FESFPS,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
FGA,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
LPL,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
Penta_C,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
Penta_D,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
Penta_E,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
SE33,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
TH01,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
TPOX,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
vWA,AfAm,Asian,unrelated,0,0,0,0,0,100000,1
CSF1PO,AfAm,Cauc,cousins,0,0.0213026802235625,0.139883918674439,-0.0193613236339421,0.656348227628202,20000,1
D10S1248,AfAm,Cauc,cousins,0,0.0165185995276549,0.108838593105004,-0.0439460085797585,0.221232376217775,20000,1
D12S391,AfAm,Cauc,cousins,0,0.0117715210833919,0.0584389171414731,-0.0855035319267715,0.162486442284327,20000,1
D13S317,AfAm,Cauc,cousins,0,0.00643184683910791,0.0269215218805004,-0.00659302128025027,0.0338825725398202,20000,1
D16S539,AfAm,Cauc,cousins,0,0.00540288897853915,0.0302511616822278,-0.0410946653019857,0.0961703685228841,20000,1
D18S51,AfAm,Cauc,cousins,0,0.00958507381854887,0.0527539807914461,-0.0732928922099343,0.142972002423579,20000,1
