db_size,db_size_num,true_relationship,tested_relationship,loci_set,threshold,n,k,prop,ci_lo,ci_hi
10k,10000,Half Siblings,Parent-Child,Core 13,Top 50,10000,120,0.012,0.01004544337902728,0.014329352799272863
20k,20000,Half Siblings,Parent-Child,Core 13,Top 50,10000,120,0.012,0.01004544337902728,0.014329352799272863
100k,100000,Half Siblings,Parent-Child,Core 13,Top 50,10000,120,0.012,0.01004544337902728,0.014329352799272863
10k,10000,Half Siblings,Parent-Child,Core 13,Top 100,10000,120,0.012,0.01004544337902728,0.014329352799272863
20k,20000,Half Siblings,Parent-Child,Core 13,Top 100,10000,120,0.012,0.01004544337902728,0.014329352799272863
100k,100000,Half Siblings,Parent-Child,Core 13,Top 100,10000,120,0.012,0.01004544337902728,0.014329352799272863
10k,10000,Half Siblings,Parent-Child,Core 13,Top 200,10000,120,0.012,0.01004544337902728,0.014329352799272863
20k,20000,Half Siblings,Parent-Child,Core 13,Top 200,10000,120,0.012,0.01004544337902728,0.014329352799272863
100k,100000,Half Siblings,Parent-Child,Core 13,Top 200,10000,120,0.012,0.01004544337902728,0.014329352799272863
10k,10000,Half Siblings,Parent-Child,Expanded 20,Top 10,10000,8,8e-4,4.054288421193391e-4,0.0015779692156827755
20k,20000,Half Siblings,Parent-Child,Expanded 20,Top 10,10000,8,8e-4,4.054288421193391e-4,0.0015779692156827755
100k,100000,Half Siblings,Parent-Child,Expanded 20,Top 10,10000,8,8e-4,4.054288421193391e-4,0.0015779692156827755
10k,10000,Half Siblings,Parent-Child,Expanded 20,Top 50,10000,8,8e-4,4.054288421193391e-4,0.0015779692156827755
20k,20000,Half Siblings,Parent-Child,Expanded 20,Top 50,10000,8,8e-4,4.054288421193391e-4,0.0015779692156827755
100k,100000,Half Siblings,Parent-Child,Expanded 20,Top 50,10000,8,8e-4,4.054288421193391e-4,0.0015779692156827755
10k,10000,Half Siblings,Parent-Child,Expanded 20,Top 100,10000,8,8e-4,4.054288421193391e-4,0.0015779692156827755
